HATE(0-1),LIKE(0-1),NO_POS(0),SHORT_BIG(0),FINAL_TWO(0)
HATE(0-2),LIKE(0-2),NO_POS(1),SHORT_BIG(1),FINAL_TWO(1)
HATE(0-3),LIKE(0-3),NO_POS(2),SHORT_BIG(2),FINAL_TWO(2)
HATE(0-4),LIKE(0-4),NO_POS(3),SHORT_BIG(3),FINAL_TWO(3)
HATE(1-0),LIKE(1-0),NO_POS(4),SHORT_BIG(4),FINAL_TWO(4)
HATE(1-2),LIKE(1-2),OUT_POS(0),BIG_SHORT(0),FIRST_OUT(0)
HATE(1-3),LIKE(1-3),OUT_POS(1),BIG_SHORT(1),FIRST_OUT(1)
HATE(1-4),LIKE(1-4),OUT_POS(2),BIG_SHORT(2),FIRST_OUT(2)
HATE(2-0),LIKE(2-0),OUT_POS(3),BIG_SHORT(3),FIRST_OUT(3)
HATE(2-1),LIKE(2-1),OUT_POS(4),BIG_SHORT(4),FIRST_OUT(4)
HATE(2-3),LIKE(2-3),NO_NEG(0),CHIP_FIVE(0),THREE_WIN(0)
HATE(2-4),LIKE(2-4),NO_NEG(1),CHIP_FIVE(1),THREE_WIN(1)
HATE(3-0),LIKE(3-0),NO_NEG(2),CHIP_FIVE(2),THREE_WIN(2)
HATE(3-1),LIKE(3-1),NO_NEG(3),CHIP_FIVE(3),THREE_WIN(3)
HATE(3-2),LIKE(3-2),NO_NEG(4),CHIP_FIVE(4),THREE_WIN(4)
HATE(3-4),LIKE(3-4),OUT_NEG(0),CHIP_TEN(0),THREE_LOSE(0)
HATE(4-0),LIKE(4-0),OUT_NEG(1),CHIP_TEN(1),THREE_LOSE(1)
HATE(4-1),LIKE(4-1),OUT_NEG(2),CHIP_TEN(2),THREE_LOSE(2)
HATE(4-2),LIKE(4-2),OUT_NEG(3),CHIP_TEN(3),THREE_LOSE(3)
HATE(4-3),LIKE(4-3),OUT_NEG(4),CHIP_TEN(4),THREE_LOSE(4)
VIP_WIN(0),VIP_WIN(1),VIP_WIN(2),VIP_WIN(3),VIP_WIN(4)
